iter	Logloss
0	0.6473431229
1	0.6072892188
2	0.5813836525
3	0.5454456031
4	0.5221235113
5	0.5026998494
6	0.4830537536
7	0.4535984453
8	0.4261298167
9	0.4101640943
10	0.3974594411
11	0.3764785498
12	0.3558538957
13	0.3423339404
14	0.3273067485
15	0.317900559
16	0.3096369834
17	0.3001586588
18	0.2856105941
19	0.2725229382
20	0.2621545997
21	0.2513040555
22	0.2448037882
23	0.238185465
24	0.2292790831
25	0.2255225379
26	0.2187857717
27	0.2124191246
28	0.2059036252
29	0.200376008
30	0.1970858342
31	0.1919152592
32	0.1870664879
33	0.1826582666
34	0.1807278111
35	0.1767630882
36	0.1749264912
37	0.172866751
38	0.1705751365
39	0.1683598676
40	0.1666957178
41	0.1650808147
42	0.1628945219
43	0.1615199133
44	0.1599392751
45	0.1590033598
46	0.1577600421
47	0.15501009
48	0.1524584114
49	0.1501550027
50	0.1491488062
51	0.1481226125
52	0.1462548322
53	0.1451820326
54	0.1444939458
55	0.1437663312
56	0.1421421985
57	0.1416026011
58	0.140844736
59	0.140254548
60	0.1393227338
61	0.1379842063
62	0.1374050614
63	0.1368038924
64	0.1362443095
65	0.1356767805
66	0.1350443415
67	0.1344130781
68	0.1338617942
69	0.1332891043
70	0.1325278999
71	0.1320292701
72	0.1316513206
73	0.1310457442
74	0.1306647983
75	0.1301305289
76	0.1297062573
77	0.1293211464
78	0.1292143179
79	0.1289207766
80	0.1284854485
81	0.1278566623
82	0.1275191368
83	0.1272122153
84	0.1268194243
85	0.1263547403
86	0.1260063348
87	0.1256993006
88	0.1254682717
89	0.1251990642
90	0.1249992693
91	0.124547834
92	0.1241891126
93	0.1239007298
94	0.1235690968
95	0.1233006299
96	0.1231423278
97	0.1228555595
98	0.1225962043
99	0.1223637869
100	0.122197462
101	0.1220044444
102	0.1211983892
103	0.1209027543
104	0.1206545481
105	0.1203864544
106	0.1200835485
107	0.1199192328
108	0.1196205784
109	0.1194031431
110	0.119200625
111	0.1190549486
112	0.1189006322
113	0.1186496989
114	0.1183813261
115	0.1182615955
116	0.1180402059
117	0.1178050336
118	0.1176161332
119	0.1174910534
120	0.1172814214
121	0.1171398139
122	0.1168935508
123	0.1167681295
124	0.1165318864
125	0.1163492047
126	0.1161826049
127	0.1160898281
128	0.1159172974
129	0.1156067425
130	0.1155209465
131	0.1154139026
132	0.1153520653
133	0.1151532692
134	0.1149868241
135	0.1148824128
136	0.1147738016
137	0.114586287
138	0.1142503945
139	0.1140631531
140	0.1138127306
141	0.1137348126
142	0.1137259827
143	0.113559928
144	0.1135492169
145	0.1133753568
146	0.1132134547
147	0.1130755397
148	0.1129602973
149	0.1127996497
150	0.1125950821
151	0.1124443942
152	0.1122927771
153	0.1120386913
154	0.1118288327
155	0.1117328197
156	0.1115533527
157	0.1113735628
158	0.1111143904
159	0.1110424681
160	0.1109362175
161	0.1107819152
162	0.1106025936
163	0.1104191885
164	0.1102321649
165	0.1100954531
166	0.1097793717
167	0.1096832375
168	0.1096129729
169	0.1094322447
170	0.1092129814
171	0.1091309382
172	0.1090265006
173	0.1089729871
174	0.1089102062
175	0.1087264123
176	0.1086371901
177	0.1086314924
178	0.1085126314
179	0.1084952459
180	0.1082945482
181	0.1082175105
182	0.1081429254
183	0.108019715
184	0.1077970207
185	0.1076680201
186	0.1075668616
187	0.1074643887
188	0.1073046354
189	0.1072387659
190	0.1071103824
191	0.1069692161
192	0.1068808475
193	0.1067958761
194	0.1067029285
195	0.1065554565
196	0.1064178678
197	0.1063303464
198	0.1062589357
199	0.1061837924
200	0.1060142883
201	0.1059514556
202	0.1059474811
203	0.1057830422
204	0.1057683596
205	0.1057298514
206	0.1057124469
207	0.1055561325
208	0.1055525213
209	0.1054359632
210	0.1053757624
211	0.1052787908
212	0.1051187681
213	0.1049667098
214	0.1049046667
215	0.1048084448
216	0.1046946235
217	0.1046380048
218	0.104505417
219	0.1044218233
220	0.1043500416
221	0.1041224927
222	0.1040593204
223	0.103922514
224	0.1037277482
225	0.1037160387
226	0.1036793633
227	0.103632525
228	0.1035800311
229	0.1034255319
230	0.1033188162
231	0.1032022839
232	0.1030650573
233	0.1029436535
234	0.1027584374
235	0.1026454111
236	0.1024780783
237	0.1023966154
238	0.1023684053
239	0.1022194278
240	0.1020813359
241	0.1019680872
242	0.1018223241
243	0.1017680009
244	0.1016709106
245	0.1015355628
246	0.1014424442
247	0.1012756463
248	0.101150678
249	0.1010276689
250	0.1010150046
251	0.1009693437
252	0.1008473228
253	0.1006917942
254	0.1005738953
255	0.1005186043
256	0.1004498293
257	0.1002998667
258	0.1001945179
259	0.1000872505
260	0.09994531199
261	0.09981938915
262	0.09964861095
263	0.09955324111
264	0.09943435817
265	0.09931780599
266	0.09919031459
267	0.0990489599
268	0.09893390228
269	0.09885192807
270	0.09868347376
271	0.09857712951
272	0.09854464778
273	0.09848360094
274	0.09834994936
275	0.09825035164
276	0.0981279697
277	0.09804750952
278	0.09793663972
279	0.09788138451
280	0.09776207546
281	0.09766618001
282	0.09759761851
283	0.09748502127
284	0.09741272695
285	0.09735865189
286	0.09724046367
287	0.09712590374
288	0.09704071945
289	0.09696945273
290	0.09690217174
291	0.09675881041
292	0.09668599439
293	0.0966076165
294	0.09654945038
295	0.09644207541
296	0.0963649297
297	0.09628288627
298	0.0962010815
299	0.09611270934
300	0.09601857655
301	0.09600081151
302	0.09591241042
303	0.0958044812
304	0.0957050162
305	0.0955541811
306	0.09550318492
307	0.09521926067
308	0.09516386039
309	0.09504305927
310	0.09498562123
311	0.09486280315
312	0.09477649027
313	0.0947279989
314	0.09462496838
315	0.09451686922
316	0.09447970741
317	0.09442820828
318	0.09438914169
319	0.09424253326
320	0.09419480889
321	0.09408610736
322	0.0939453318
323	0.09384436021
324	0.09376185675
325	0.09365996739
326	0.09356687745
327	0.09346437171
328	0.09338005897
329	0.09326108464
330	0.09320616696
331	0.09310384162
332	0.09295910048
333	0.09289598835
334	0.09273488424
335	0.09268334571
336	0.09260966935
337	0.09247869959
338	0.09246273819
339	0.09239645768
340	0.09230840759
341	0.09221923867
342	0.09211697775
343	0.0920329557
344	0.09191348652
345	0.09178533932
346	0.091589454
347	0.091486525
348	0.09138680718
349	0.09128910143
350	0.0912348582
351	0.09114273342
352	0.09107114334
353	0.09099050354
354	0.09089818435
355	0.09080963434
356	0.09060489046
357	0.09056120611
358	0.09045489326
359	0.09034117438
360	0.09023892667
361	0.09012402203
362	0.0900298742
363	0.08996322837
364	0.08985307402
365	0.08973836394
366	0.08963299741
367	0.08958252221
368	0.08950309486
369	0.08947633304
370	0.0894664131
371	0.08942635211
372	0.08931406635
373	0.08920007336
374	0.08912330671
375	0.0890379985
